tag,gt_x,gt_y,gt_z,min_x,min_y,min_z,topk_x,topk_y,topk_z,err_hard,err_raw,err_topk,cos_gt,margin,at_boundary,gt_outside_grid,e_min,e_max
t_az90_el45_pz_p2,0.0001,-0.0001,0.0482,0.0,0.0,0.02,-0.0011,0.0011,0.0217,0.0282,0.0282,0.0266,1.0,3.38,0,0,0.4041,0.4697
t_exo_named_nx_p0,-0.0556,-0.0,-0.0053,0.06,0.0,0.0,0.06,-0.0006,0.0361,0.1158,0.1158,0.1228,-0.995,1.497,0,0,0.4002,0.4256
t_exo_named_nx_p1,-0.0555,0.0,-0.0043,0.0,0.04,0.08,0.0006,0.0267,0.0594,0.1085,0.1085,0.0889,-0.068,1.068,1,0,0.3929,0.4198
t_exo_named_nx_p2,-0.0557,-0.0,-0.0046,0.0,0.04,0.0,0.0044,0.0428,0.0367,0.0687,0.0687,0.0846,-0.0,1.241,0,0,0.3935,0.4232
t_exo_named_ny_p0,-0.0004,-0.0556,-0.0067,-0.04,0.08,0.0,-0.0411,0.0689,0.0361,0.1414,0.1414,0.1378,-0.885,1.967,1,0,0.3906,0.4125
t_exo_named_ny_p1,-0.0011,-0.0557,-0.0077,0.0,0.04,0.0,-0.0061,0.0378,0.0044,0.096,0.096,0.0944,-0.99,2.793,0,0,0.3923,0.4221
t_exo_named_ny_p2,0.0001,-0.0557,-0.0077,0.0,0.04,-0.02,-0.015,0.0406,0.0333,0.0965,0.0965,0.1057,-0.825,2.156,0,0,0.3917,0.4161
t_exo_named_nz_p0,-0.0011,-0.0001,-0.0622,0.0,0.02,-0.04,0.0011,0.0017,-0.0328,0.0299,0.0299,0.0295,0.894,2.38,0,0,0.3829,0.4008
t_exo_named_nz_p1,-0.0012,-0.0001,-0.0615,0.0,0.02,-0.04,0.0083,0.0028,-0.0294,0.0295,0.0295,0.0336,0.893,2.47,0,0,0.3787,0.4071
t_exo_named_nz_p2,-0.0015,-0.0001,-0.0627,0.0,0.0,-0.02,0.0,-0.0044,-0.0133,0.0428,0.0428,0.0496,1.0,2.275,0,0,0.3773,0.4128
t_exo_named_px_p0,0.0546,-0.0002,-0.0075,-0.02,-0.06,-0.02,-0.0383,-0.0539,0.0006,0.0965,0.0965,0.1077,-0.255,1.669,0,0,0.3943,0.4217
t_exo_named_px_p1,0.0539,-0.0001,-0.0079,-0.04,-0.04,-0.02,-0.0356,-0.0411,-0.01,0.1027,0.1027,0.0984,-0.61,1.929,0,0,0.4,0.4398
t_exo_named_px_p2,0.0535,-0.0001,-0.0071,-0.04,-0.02,0.0,-0.04,-0.0278,0.0011,0.0959,0.0959,0.0979,-0.886,2.102,0,0,0.4048,0.4365
t_exo_named_py_p0,-0.0004,0.0554,-0.0067,0.02,-0.08,0.0,-0.0033,-0.0589,0.0417,0.1371,0.1371,0.1241,-0.965,1.391,1,0,0.3755,0.4118
t_exo_named_py_p1,-0.0003,0.0554,-0.007,0.0,-0.06,0.0,0.0,-0.0594,0.0289,0.1156,0.1156,0.1203,-0.992,1.681,0,0,0.3902,0.4321
t_exo_named_py_p2,0.0004,0.0554,-0.0068,0.02,-0.08,0.0,0.0194,-0.0611,0.0272,0.137,0.137,0.1229,-0.961,1.557,1,0,0.4018,0.4338
t_exo_named_pz_p0,0.0006,-0.0001,0.0488,-0.02,0.0,0.04,-0.0128,0.0028,0.0461,0.0224,0.0224,0.014,0.889,1.77,0,0,0.3748,0.4092
t_exo_named_pz_p1,0.0013,-0.0002,0.0479,0.0,0.0,0.02,-0.0006,-0.0128,0.0428,0.028,0.028,0.0137,1.0,1.83,0,0,0.3791,0.4275
t_exo_named_pz_p2,0.0001,-0.0001,0.0482,0.0,-0.02,0.04,-0.005,-0.0211,0.045,0.0215,0.0215,0.0219,0.895,2.097,0,0,0.3766,0.4243
t_top_down_nx_p0,-0.0556,-0.0,-0.0053,-0.02,-0.06,0.0,-0.035,-0.055,-0.0017,0.07,0.07,0.0588,0.316,2.297,0,0,0.4475,0.4751
t_top_down_nx_p1,-0.0555,0.0,-0.0043,-0.04,-0.06,0.0,-0.0517,-0.0506,0.0044,0.0621,0.0621,0.0515,0.553,2.109,0,0,0.4467,0.4764
t_top_down_nx_p2,-0.0557,-0.0,-0.0046,-0.02,-0.06,-0.02,-0.0361,-0.0539,-0.0061,0.0715,0.0715,0.0574,0.325,2.211,0,0,0.4455,0.4731
t_top_down_ny_p0,-0.0004,-0.0556,-0.0067,0.02,0.0,0.04,0.0222,-0.0011,0.0506,0.0754,0.0754,0.0822,-0.11,2.337,0,0,0.4422,0.4708
t_top_down_ny_p1,-0.0011,-0.0557,-0.0077,0.0,0.02,0.04,0.0128,0.0094,0.0367,0.0895,0.0895,0.08,-0.566,2.697,0,0,0.4516,0.4824
t_top_down_ny_p2,0.0001,-0.0557,-0.0077,0.0,0.02,0.04,0.005,0.0117,0.0494,0.0895,0.0895,0.0885,-0.566,2.687,0,0,0.4363,0.4657
t_top_down_nz_p0,-0.0011,-0.0001,-0.0622,0.0,0.0,0.0,0.0061,-0.0039,0.0,0.0622,0.0622,0.0627,0.0,3.359,0,0,0.4051,0.454
t_top_down_nz_p1,-0.0012,-0.0001,-0.0615,0.0,0.0,0.0,0.0056,-0.0106,-0.0028,0.0615,0.0615,0.06,0.0,3.2,0,0,0.4181,0.4681
t_top_down_nz_p2,-0.0015,-0.0001,-0.0627,0.0,0.0,0.0,0.0089,-0.0017,0.0,0.0628,0.0628,0.0636,0.0,3.048,0,0,0.4115,0.4601
t_top_down_px_p0,0.0546,-0.0002,-0.0075,0.02,0.08,0.0,0.0261,0.0672,-0.0006,0.0876,0.0876,0.0735,0.238,3.332,1,0,0.4602,0.481
t_top_down_px_p1,0.0539,-0.0001,-0.0079,0.02,0.08,0.0,0.0428,0.0622,-0.0017,0.0873,0.0873,0.0636,0.238,3.29,1,0,0.4575,0.4841
t_top_down_px_p2,0.0535,-0.0001,-0.0071,0.04,0.06,-0.02,0.0433,0.0528,-0.0133,0.0629,0.0629,0.0542,0.564,2.672,0,0,0.4502,0.4765
t_top_down_py_p0,-0.0004,0.0554,-0.0067,0.0,0.02,-0.04,-0.005,0.0172,-0.0444,0.0486,0.0486,0.0539,0.551,1.95,0,0,0.4471,0.4783
t_top_down_py_p1,-0.0003,0.0554,-0.007,-0.04,0.04,-0.04,-0.0278,0.0322,-0.0461,0.0539,0.0539,0.0531,0.648,1.878,0,0,0.4471,0.4847
t_top_down_py_p2,0.0004,0.0554,-0.0068,0.0,0.02,-0.04,-0.0072,0.0194,-0.04,0.0486,0.0486,0.0496,0.552,2.27,0,0,0.4512,0.48
t_top_down_pz_p0,0.0006,-0.0001,0.0488,0.0,0.0,0.0,0.0006,-0.0022,0.0028,0.0488,0.0488,0.0461,0.0,3.286,0,0,0.4225,0.464
t_top_down_pz_p1,0.0013,-0.0002,0.0479,0.0,0.02,0.02,-0.0033,0.0161,0.0167,0.0345,0.0345,0.0356,0.703,3.073,0,0,0.4237,0.4605
t_top_down_pz_p2,0.0001,-0.0001,0.0482,0.0,0.0,0.0,-0.0011,0.0039,0.0017,0.0482,0.0482,0.0468,0.0,3.629,0,0,0.4228,0.46
